id	name	producturl	bigimage	categoryid1	categoryid2	description	price
H10339	プロディジー リバーシス アイ コンセントレイト	http://verum-ad.net/rd/helena_rd.php?p_id=H10339&utm_source=helenarubinstein&utm_medium=cpc&utm_campaign=criteo	http://www.helenarubinstein.jp/static/product_images/default/H10339/H10339.jpg?20170329030001	スキンケア	アイ トリートメント	年齢を重ねた目元の肌に着目。 トータル ビューティ エイジングケア*1の「プロディジー」が更なる進化を経て、「プロディジー リバーシス」へ。ハリ感と弾力感を与え、より凛としたまなざしへ。■使用方法：人差し指と中指に少量を手に取ります。目頭の近くから目尻へと、優しく押します。2	14000
H10017	プロディジー クレンザー	http://verum-ad.net/rd/helena_rd.php?p_id=H10017&utm_source=helenarubinstein&utm_medium=cpc&utm_campaign=criteo	http://www.helenarubinstein.jp/static/product_images/default/H10017/H10017.jpg?20170329030001	スキンケア	クレンジング/洗顔	肌を清める、至福の心地よさ 至福＊１のエイジングケア＊２「プロディジー」で、どこまでも贅沢に心地よく肌を洗い上げる、きめこまやかな泡立ちの洗顔料。しっとりとした洗いあがりで、肌の求める５つのニーズに挑みます。■使用方法：朝晩、適量を手ののひらに取り、よく泡立ててから顔	8000
H10020	プロディジー メイクアップ リムーバー	http://verum-ad.net/rd/helena_rd.php?p_id=H10020&utm_source=helenarubinstein&utm_medium=cpc&utm_campaign=criteo	http://www.helenarubinstein.jp/static/product_images/default/H10020/H10020.jpg?20170329030001	スキンケア	クレンジング/洗顔	心地よく肌を包む、贅沢な洗浄感 クリーム クレンジングの心地よさと、オイル クレンジングの洗浄力を合わせ持つメイクアップ リムーバー。やわらかなクリームが、マッサージすることでオイル状に変わり、メイクを隅々までやさしい感触で落とします。柔らかく透明感のある肌へ。■使用方法	8500
H10187	オール マスカラ リムーバー	http://verum-ad.net/rd/helena_rd.php?p_id=H10187&utm_source=helenarubinstein&utm_medium=cpc&utm_campaign=criteo	http://www.helenarubinstein.jp/static/product_images/default/H10187/H10187.jpg?20170329030001	スキンケア	クレンジング/洗顔	ウォータープルーフのマスカラもきれいに優しくオフするポイント メイク リムーバー。 よりさっぱりとした使用感とメイクオフ力が高まり、生まれ変わりました！ウォータープルーフのマスカラもさっときれいに落とせる、低刺激アイメイクアップリムーバー。リキッドとオイルの二層構造でし	5000
H10196	ピュア リチュアル ブラック ピール スクラブ	http://verum-ad.net/rd/helena_rd.php?p_id=H10196&utm_source=helenarubinstein&utm_medium=cpc&utm_campaign=criteo	http://www.helenarubinstein.jp/static/product_images/default/H10196/H10196.jpg?20170329030001	スキンケア	スペシャル ケア	ピーリングとスクラブのＷの効果で、透明感あふれる、清らかでなめらかなシルキー素肌へ。 ピーリングとスクラブのＷの効果で、毛穴の汚れ、古い角質を優しく取り除く。オイル イン テクスチャーで、マッサージの際の摩擦を軽減。後肌感もしっとり、潤い続く。【日本人のお肌に合わせて開	9000
H10197	ピュア リチュアル ケア イン ミルク クレンザー	http://verum-ad.net/rd/helena_rd.php?p_id=H10197&utm_source=helenarubinstein&utm_medium=cpc&utm_campaign=criteo	http://www.helenarubinstein.jp/static/product_images/default/H10197/H10197.jpg?20170329030001	スキンケア	クレンジング/洗顔	みずみずしい感触のクレンジング ミルク。肌をしっとり守りながら、しなやかな肌に。 トリートメント成分配合。みずみずしい感触のクレンジング ミルク。軽やかでフレッシュなテクスチャーで、肌をしっとり守りながら、しなやかな肌に。【日本人のお肌に合わせて開発】●肌表面をなめらか	6800
H10198	ピュア リチュアル ケア イン フォーミング クレンザー	http://verum-ad.net/rd/helena_rd.php?p_id=H10198&utm_source=helenarubinstein&utm_medium=cpc&utm_campaign=criteo	http://www.helenarubinstein.jp/static/product_images/default/H10198/H10198.jpg?20170329030001	スキンケア	クレンジング/洗顔	マシュマロのような弾力とムースのようにきめ細かい濃密泡で、なめらかで輝きのある肌へ。 マシュマロのような弾力とムースのようにきめ細かい濃密泡で、肌を磨くクレンザー(洗顔料)。肌の油水分バランスを保ちながら、なめらかで輝きのある肌へ。【日本人のお肌に合わせて開発】●肌表面	6000
H10034	ライフ パール セルラ ローション	http://verum-ad.net/rd/helena_rd.php?p_id=H10034&utm_source=helenarubinstein&utm_medium=cpc&utm_campaign=criteo	http://www.helenarubinstein.jp/static/product_images/default/H10034/H10034.jpg?20170329030001	スキンケア	化粧水	しっとりと潤いに満ちた肌へ。 ひときわ美しいロイヤル ブラック パールの神秘から生まれた、エイジングケア*1化粧水。50代を境に気になり始める極度の乾燥に着目。とろみのある贅沢*2なテクスチャーでしっとりと潤いに満ちた肌へ。■使用方法：洗顔後、コットンに含ませてお使いください。*	22000
H10255	アドバンスド P.C. ローション	http://verum-ad.net/rd/helena_rd.php?p_id=H10255&utm_source=helenarubinstein&utm_medium=cpc&utm_campaign=criteo	http://www.helenarubinstein.jp/static/product_images/default/H10255/H10255.jpg?20170329030001	スキンケア	化粧水	どこまでも続く。うるおいの1滴。なめらか、ハリ感のある輝く印象へ。 ≪栄誉あるVOCE 2015年上半期 ベストコスメ1位を受賞！≫人気No.1*1エイジングケア*2化粧水が進化を遂げて新登場！高濃度*1の始原細胞*3を初めて化粧水に配合。内側*4までなじむ深いうるおいを長期間キープ。なめらか、ハリ感	8500
H10305	P.C. スタート セット	http://verum-ad.net/rd/helena_rd.php?p_id=H10305&utm_source=helenarubinstein&utm_medium=cpc&utm_campaign=criteo	http://www.helenarubinstein.jp/static/product_images/default/H10305/H10305.jpg?20170329030001	スキンケア	乳液/クリーム	P.C. シリーズを手軽に体験できるお得なセット。ライン使いで未体験のハリ、輝き、うるおいをあなたの肌へ。 [WEB数量限定]P.C. の化粧水、美容液、クリーム、化粧下地としてもご利用できる日中用シールド乳液の豪華4点セットをラインでお試しいただけるお得なセット。人気No.1*シリーズで、未体	7500
